NAME,ADDRESS,ZIP CODE,UNITS WITH INCOME/RENT LIMITS,HUD,SHA,STATE OF WA or COUNTY,WSHFC,CITY OF SEATTLE,YEAR PLACED IN SERVICE,COUNCIL DISTRICT
High Point Phase II,6521 32ND AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6521 SYLVAN WAY SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6522 30TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6523 30TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6523 32ND AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6523 SYLVAN WAY SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6524 30TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6524 32ND AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6525 30TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6525 32ND AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6526 32ND AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6527 30TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6527 32ND AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6527 SYLVAN WAY SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6528 30TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6528 32ND AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6529 30TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6529 32ND AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6529 SYLVAN WAY SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6530 30TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6530 SYLVAN WAY SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6531 32ND AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6531 SYLVAN WAY SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6532 32ND AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6533 30TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6533 32ND AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6534 30TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6534 32ND AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6535 30TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6535 31ST AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6535 32ND AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6535 SYLVAN WAY SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6536 32ND AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6536 SYLVAN WAY SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6537 30TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6537 32ND AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6537 SYLVAN WAY SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6538 32ND AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6538 SYLVAN WAY SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6539 30TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6539 31ST AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6539 32ND AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6539 SYLVAN WAY SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6541 32ND AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6541 SYLVAN WAY SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6542 32ND AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6542 SYLVAN WAY SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6543 30TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6543 32ND AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6543 SYLVAN WAY SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6544 32ND AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6544 SYLVAN WAY SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6545 30TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6545 31ST AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6545 32ND AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6545 SYLVAN WAY SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6546 32ND AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6547 31ST AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6547 32ND AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6547 SYLVAN WAY SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6548 SYLVAN WAY SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6549 31ST AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6549 32ND AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6549 SYLVAN WAY SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6550 32ND AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6550 SYLVAN WAY SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6551 31ST AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6551 32ND AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6551 HIGH POINT DR SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6551 SYLVAN WAY SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6552 32ND AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6553 32ND AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6553 HIGH POINT DR SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6553 SYLVAN WAY SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6554 32ND AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6555 31ST AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6555 32ND AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6555 HIGH POINT DR SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6555 SYLVAN WAY SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6556 32ND AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6556 SYLVAN WAY SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6557 31ST AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6557 32ND AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6557 HIGH POINT DR SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6557 SYLVAN WAY SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6558 32ND AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6558 SYLVAN WAY SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6559 31ST AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6559 32ND AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6559 HIGH POINT DR SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6559 SYLVAN WAY SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6561 31ST AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6561 32ND AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6561 SYLVAN WAY SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6562 32ND AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6562 SYLVAN WAY SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6563 32ND AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6563 SYLVAN WAY SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6564 32ND AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6564 SYLVAN WAY SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6565 32ND AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6565 SYLVAN WAY SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6567 SYLVAN WAY SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6568 32ND AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6568 SYLVAN WAY SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6569 SYLVAN WAY SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6570 32ND AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6571 SYLVAN WAY SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6572 32ND AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6573 SYLVAN WAY SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6574 32ND AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6575 SYLVAN WAY SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6577 SYLVAN WAY SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6578 32ND AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6579 SYLVAN WAY SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6580 32ND AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6581 SYLVAN WAY SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6582 32ND AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6584 32ND AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6700 31ST AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6701 31ST AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6703 31ST AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6704 31ST AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6705 31ST AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6706 31ST AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6707 31ST AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6710 31ST AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6711 31ST AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6713 31ST AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6717 31ST AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6719 31ST AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6720 31ST AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6724 31ST AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6726 31ST AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6730 31ST AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6732 31ST AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6738 31ST AVE SW,98126,1, ,X, ,X, ,2009,1
Highline Village,2600 SW HOLDEN ST,98126,24, , , , ,X,2005,1
HILLTOP HOUSE APARTMENTS,1005 TERRACE ST,98104,76,X, , , , ,1967,3
Hirabayashi Place,424 S MAIN ST,98104,95, , , ,X,X,2016,2
Historic Cooper School,4408 DELRIDGE WAY SW,98106,36, , , ,X,X,2005,1
"Hoa Mai Gardens (Yesler Terrace, MPC-YT)",221 10TH AVE S,98104,110, ,X, ,X, ,2017,2
Holden Manor,1213 SW HOLDEN ST,98106,10, , , , ,X,2002,1
Holden Vista Apartments,1212 SW HOLDEN ST,98106,16, , ,X, , ,1994,1
Holgate 12,1814 12TH AVE S,98144,5, , , , ,X,2015,2
Holiday Apartments,1001 E JOHN ST,98102,29, , , ,X,X,2010,3
Holly Court,3728 S MYRTLE ST,98118,29, ,X, , , ,1980,2
Holly Court,3824 SW MYRTLE ST,98126,37, ,X, , , ,1980,1
Holly Court,6922 38TH AVE S,98118,31, ,X, , , ,1980,2
HONEYSUCKLE APTS,202 19TH AVE E,98112,30,X, , , , ,1977,3
Horizon House,900 UNIVERSITY ST,98101,37, , , ,,X,2017,7
Humphrey House,111 CEDAR ST,98121,81, , , ,X,X,2010,7
Icon,400 S JACKSON ST,98104,24, , , , ,X,2016,2
"Identity, Building I",4119 12TH AVE NE,98105,21, , , , ,X,2014,4
"Identity, Building II",4106 12TH AVE NE,98105,20, , , , ,X,2014,4
Ilaria,1305 E MERCER ST,98112,12, , , , ,X,2014,3
Imani Village (was First Place Housing Project),160 20TH AVE,98122,16, , ,X, , ,2011,3
IMPERIAL APARTMENTS,1427 E PIKE ST,98122,14,X, , , , ,1971,3
IMPERIAL HOUSE,520 S MAIN ST,98104,96,X, , , , ,1979,2
Innovative Living @ Roosevelt,817 NE 64TH ST,98115,4, , , , ,X,2014,4
Interbay Place,2208 15TH AVE W,98119,97, , , ,X,X,2015,7
International House,607 MAYNARD AVE S,98104,98,X, , ,X,X,1999,2
International Terrace,202 6TH AVE S,98104,100, ,X, ,X, ,1972,2
Interurban Senior Living,14002 LINDEN AVE N,98133,175, , , ,X, ,2013,5
Isis House,5825 16TH AVE NE,98105,10, , , , ,X,1999,4
Island View,3033 CALIFORNIA AVE SW,98116,48, ,X, , , ,1984,1
Jackson Apts,664 S JACKSON ST,98104,17,X, , , ,X,1987,2
Jackson Park House,14396 30TH AVE NE,98125,71, ,X, ,X, ,1970,5
Janus,101 NW 85TH ST,98117,21, , , , ,X,2016,6
Jefferson,500 12TH AVE,98122,39, , , ,X,X,2012,3
Jefferson Terrace,800 JEFFERSON ST,98104,299, ,X, , , ,1967,3
Jensen Block,601 EASTLAKE AVE E,98109,30, , , ,X,X,1994,7
Joe Black Apartments,3333 GALE PL S,98144,24, , , , ,X,1987,2
John Carney,2911 1ST AVE,98121,27, , , , ,X,1992,7
Jordan House,13340 3RD AVE NE,98125,8, , , , ,X,1995,5
Joseph Arnold Lofts,2708 ELLIOTT AVE,98121,27, , , , ,X,2013,7
Josephinum,1902 2ND AVE,98101,192, , , ,X,X,1992,7
Joule Apts,523 BROADWAY E,98102,59, , , , ,X,2010,3
Jubilee House,620 18TH AVE E,98112,27, , , , ,X,2008,3
Judkins Park Apartments,1133 23RD AVE S,98144,16, , , ,X,X,2004,3
Julie Apartments,1922 9TH AVE,98101,47, , , ,X,X,2001,7
Junction 47,4700 CALIFORNIA AVE SW,98116,42, , , , ,X,2015,1
Junction Flats,4433 42ND AVE SW,98116,16, , , , ,X,2016,1
Juneau Townhouses,3801 S JUNEAU ST,98118,10, , , ,X, ,1993,2
Karlstrom,65 S WASHINGTON ST,98104,23, , , ,X,X,2005,7
Kasota,2212 1ST AVE,98121,47, , , , ,X,1988,7
Kateri House,510 24TH AVE S,98144,8,X, , , , ,1986,3
Katharine's Place,3512 S JUNEAU ST,98118,25, , , ,X,X,2005,2
Kavela,6521 ROOSEVELT WAY NE,98115,13, , , , ,X,2013,4
KAWABE MEMORIAL HOUSE,221 18TH AVE S,98144,80,X, , , , ,1972,3
"Kebero Court (Yesler Terrace, outside MPC-YT)",1105 E FIR ST,98122,93, ,X, ,X,X,2015,3
Keelson Ballard,1537 NW 56TH ST,98107,21, , , , ,X,2016,6
Kenyon House,3936 S KENYON ST,98118,18, , , ,X,X,2008,2
Kerner-Scott House,510 MINOR AVE N,98109,40, , , ,X,X,1997,7
Keystone,3515 WOODLAND PARK AVE N,98103,64, , , , ,X,1988,4
Kingway,5900 37TH AVE S,98118,164, , , , ,X,2007,2
La-Ba-Te-Yah Youth Home,9010 13TH AVE NW,98117,40, , , , ,X,1991,6
Lake City Commons,12745 30TH AVE NE,98125,15, ,X, , , ,2002,5
Lake City House,12314 35TH AVE NE,98125,5, , , , ,X,1993,5
Lake City House,12546 33RD AVE NE,98125,115, ,X, ,X, ,1971,5
Lake City Village HOPE VI Redevelopment,12536 33RD AVE NE,98125,85, ,X, ,X, ,2011,5
Lake Washington Apartments,9061 SEWARD PARK AVE S,98118,377, , , ,X,X,2015,2
Lakeview Apartments,1170 HARRISON ST,98109,59, , , ,X,X,2000,7
Lam Bow Apartments,6935 DELRIDGE WAY SW,98106,30, ,X, , , ,2002,1
Lam Bow Apartments,6955 DELRIDGE WAY SW,98106,21, ,X, , , ,2002,1
Larned Apartments,2030 7TH AVE,98121,33, , , ,X,X,1991,7
Larson Building,3206 HARVARD AVE E,98102,12, , , , ,X,2016,3
Las Brisas del Mar Apartments,501 S SULLIVAN ST,98108,10, , , , ,X,1994,1
LASALLE APARTMENTS,87 PIKE ST,98101,40,X, , , , ,1978,7
LaSalle Hotel,1426 WESTERN AVE,98101,63, , , ,X,X,2006,7
LAUREL HOUSE,9010 GREENWOOD AVE N,98103,20,X, , , , ,1989,5
Legacy House,803 S LANE ST,98104,75, , , , ,X,1997,2
Leighton Apts,814 COLUMBIA ST,98104,22, , , , ,X,1989,3
Leroy Helms,420 2ND AVENUE EXT S,98104,11, , , , ,X,1998,7
Leschi House,1011 S WELLER ST,98104,68, ,X, ,X,X,2015,2
Lewis Albanese Re-entry Home,4616 S BENNETT ST,98118,6, , , , ,X,1991,2
Lewiston Hotel,2209 1ST AVE,98121,52, , , ,X,X,2001,7
Lexicon,120 HARVARD AVE E,98102,8, , , , ,X,2014,3
Lexington-Concord,2402 2ND AVE,98121,59, , , , ,X,1991,7
Lictonwood,9009 GREENWOOD AVE N,98103,81, ,X, ,X, ,1971,6
Lightbox,4545 8TH AVE NE,98105,33, , , , ,X,2014,4
LILAC LODGE,5033 37TH AVE S,98118,44,X, , , , ,1969,2
Lillehammer,7016 15TH AVE NW,98117,19,,,,,X,2017,6
Lime Studios,3639 LINDEN AVE N,98103,7, , , , ,X,2016,6
Lincoln Court Apartments,1020 E DENNY WAY,98102,29, , , , ,X,2004,3
Lincoln Park Group Homes,6935 FAUNTLEROY WY SW,98136,8,X, , , , ,1987,1
Linden Apartments,4127 LINDEN AVE N,98103,6, , , , ,X,1992,6
Link Apts,4550 38TH AVE SW,98126,39, , , , ,X,2011,1
LIV Wallingford,1240 N MIDVALE PL,98103,6, , , , ,X,2017,4
LIVINGSTON-BAKER APARTMENTS,1929 1ST AVE,98101,90,X, , , , ,1977,7
Local 418 Apartments,418 BELLEVUE AVE E,98102,10, , , , ,X,2013,3
Local 422 Apartments,422 SUMMIT AVE E,98102,10, , , , ,X,2015,3
Lofts at the Junction,4535 44TH AVE SW,98116,8, , , , ,X,2016,1
Longfellow Creek Apartments,5915 DELRIDGE WAY SW,98106,84, ,X, , , ,2003,1
Longfellow/Westwood Court Cooperative,9401 27TH AVE SW,98126,45, ,X, ,X,X,2001,1
Lowman Building,107 CHERRY ST,98104,89,X, , ,X,X,2005,7
LOYAL HEIGHTS MANOR,7547 24TH AVE NW,98117,54,X, , , , ,1980,6
Lyon Building,607 3RD AVE,98104,64, , , ,X,X,1998,7
Lyric,230 BROADWAY E,98102,47, , , , ,X,2012,3
M L KING JR APARTMENTS,7923 MARTIN LUTHER KING JR WAY S,98118,117,X, , , , ,1969,2
Mad Flats,1523 E MADISON ST,98122,11, , , , ,X,2016,3
Madison Apartments,823 MADISON ST,98104,72, , , ,X, ,1998,7
Madison Two-O,1811 20TH AVE,98122,7, , , , ,X,2017,3
Main Place II,308 22ND AVE,98122,25, ,X, , , ,2004,3
Main Street Apartments,2035 S MAIN ST,98144,12, ,X, , , ,2004,3
Maple Leaf House,8803 15TH AVE NE,98115,7, , , , ,X,1999,5
Marion West,5019 ROOSEVELT WAY NE,98105,48, , , ,X,X,2016,4
MARKET HOUSE,1525 1ST AVE,98101,51,X, , , , ,1984,7
Market Terrace,1115 NW MARKET ST,98107,30, ,X, , , ,2002,6
Marq West Seattle,3261 SW AVALON WAY,98126,23, , , , ,X,2014,1
Martin Court,6188 4TH AVE S,98108,42, , , ,X,X,2004,2
Martin Luther King Jr Way 5-Plex,924 MARTIN LUTHER KING JR WAY,98122,5, ,X, , , ,2006,3
Mary Avenue Townhomes,8548 MARY AVE NW,98117,4, ,X, , , ,2001,6
Mary Ruth Manor,100 20TH AVE E,98112,20,X, , ,X,X,1993,3
Mary Witt House,10049 35TH AVE NE,98125,5, , , , ,X,1990,5
Maude Apartments,836 NE 67TH ST,98115,16,,,,,X,2017,4
Maxwell,318 11TH AVE E,98102,4, , , , ,X,1990,3
McDermott Place,12730 33RD AVE NE,98125,75, , , ,X,X,2010,5
McKinney Manor,1916 E MADISON ST,98122,63, , , , ,X,1999,3
Meadowbrook,3258 NE 96TH ST,98115,4, , , , ,X,1991,5
Meadowbrook View,11032 LAKE CITY WAY NE,98125,50, ,X, ,X,X,2002,5
Medora,6810 ROOSEVELT WAY NE,98115,16,,,,,X,2017,4
Melrose,1520 MELROSE AVE,98122,30, , , , ,X,1989,3
Mercer Court,527 12TH AVE E,98102,24, , , ,X,X,1996,3
Mercy Othello Plaza (East),6940 MARTIN LUTHER KING JR WAY S,98118,68, , , ,X,X,2017,2
Mercy Othello Plaza (West),6940 MARTIN LUTHER KING JR WAY S,98118,40, , , ,X,X,2017,2
Meridian Manor,10345 MERIDIAN AVE N,98133,107,X, , , ,X,2011,5
Michaelson Manor,320 W ROY ST,98119,57, ,X, , , ,1985,7
Miller Park Apts,2312 E JOHN ST,98112,12, , , , ,X,1995,3
Minnie Flats,101 DENNY WAY,98109,17, , , , ,X,2016,7
MIO Apartments,1319 NE 65TH ST,98115,8,,,,,X,2017,4
Miracle Manor,1056 NE 120TH ST,98125,6, , , , ,X,1990,5
Modera Ballard,2003 NW 57TH ST,98107,24,,,,,X,2017,6
Modera Capitol Hill,1427 11TH AVE,98122,27, , , , ,X,2016,3
Modera South Lake Union,435 DEXTER AVE N,98109,59, , , , ,X,2016,7
Monica's Village Place,100 23RD AVE S,98144,50, , , ,X,X,2011,3
Montridge Arms,9000 20TH AVE SW,98106,33, ,X, , , ,2002,1
Morrison Hotel,507 3RD AVE,98104,190, , , ,X,X,2005,7
Mt Baker Apts,2530 29TH AVE S,98144,155, , , ,X,X,1989,2
Mt Baker Lofts,2915 RAINIER AVE S,98144,56, , , ,X,X,2014,2
"Mural Apts, The",4727 42ND AVE SW,98116,28, , , , ,X,2009,1
Muriels Landing,5240 UNIVERSITY WAY NE,98105,20, , , , ,X,2012,4
Nelson Manor - SSHP,2200 NW 58TH ST,98107,31, ,X, , ,X,2012,6
New Central,657 S WELLER ST,98104,28,X, , , ,X,2008,2
New Ground - Friends of Youth,6524 62ND AVE NE,98115,7, , ,X, ,X,1998,4
New Haven Apartments,13000 LINDEN AVE N,98133,247, , , ,X, ,2007,5
NewHolly Phase I,2901 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2902 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2903 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2904 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2905 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2906 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2907 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2908 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2911 S BRIGHTON ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2911 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2911 S WILLOW ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2912 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2912 S WILLOW ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2913 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2913 S WILLOW ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2914 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2915 S BRIGHTON ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2916 S WILLOW ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2917 S BRIGHTON ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2917 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2917 S WILLOW ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2918 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2918 S WILLOW ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2919 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2919 S WILLOW ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2920 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2921 S BRIGHTON ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2921 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2921 S WILLOW ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2922 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2922 S WILLOW ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2923 S BRIGHTON ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2923 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2923 S WILLOW ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2924 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2924 S WILLOW ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2925 S WILLOW ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2927 S BRIGHTON ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2927 S WILLOW ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2928 S WILLOW ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2929 S BRIGHTON ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2930 S WILLOW ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2933 S BRIGHTON ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2933 S WILLOW ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2934 S WILLOW ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2935 S BRIGHTON ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2935 S WILLOW ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2936 S WILLOW ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2937 S WILLOW ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2939 S BRIGHTON ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2939 S WILLOW ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2940 S WILLOW ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2941 S BRIGHTON ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2941 S WILLOW ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2942 S WILLOW ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2943 S WILLOW ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2945 S WILLOW ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2947 S WILLOW ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2949 S WILLOW ST,98108,1, ,X, , ,X,1999,2
